judgment,bucket,blip_max,blip_argmax_frame,surface,type,malformed,video_id,frame_grid_path,summary_text,entity_id,summary_id
,mid,0.1666,2,man,person,False,v_IJAR9ERJt4s,outputs/annotation/frames/videoxum/v_IJAR9ERJt4s.png, man is playing the bag pipes in front of a building on fire. The building is on fire and the man is trying to put out the fire.,blip_base_02700__e1,blip_base_02700
,low,0.1246,3,people,person,False,v_j2ESEJmy7aA,outputs/annotation/frames/videoxum/v_j2ESEJmy7aA.png, close up of a plane is seen followed by a woman sitting behind a desk and another speaking to the camera. The camera pans around the plane and leads into several shots of people riding around.,blip_base_01559__e8,blip_base_01559
,low,0.074,0,talk,action,False,v_MubE2kOK6z0,outputs/annotation/frames/videoxum/v_MubE2kOK6z0.png, see an opening title screen. We see a man in a white shirt talking. The man in the white shirt talks to the camera. The closing title screen is seen.,blip_base_02616__e2,blip_base_02616
,mid,0.2249,9,smiling to the camera,action,False,v_0gf3AgK1YLY,outputs/annotation/frames/videoxum/v_0gf3AgK1YLY.png, young girl is seen looking at the camera and leads into her putting eyeliner on as well as mascara. She then puts lipstick on her lips and ends by smiling to the camera.,blip_base_02794__e6,blip_base_02794
,very_high,0.7951,1,a line of people,person,False,v_b4DhjwkO-b4,outputs/annotation/frames/videoxum/v_b4DhjwkO-b4.png, see a line of people standing against a wall. We see a man in a red shirt talking. The man in the red shirt talks to the camera. We then see the man on the left.,blip_base_03535__e1,blip_base_03535
,very_high,0.6881,1,man in gray shirt,person,False,v_KzxVQ19pRUU,outputs/annotation/frames/videoxum/v_KzxVQ19pRUU.png," man in gray shirt is sitting at the table, in front of him are bottles of liquors, glass, shaker, ice, raspberries and whipped cream. The man poured the ice into the glass, stirred it, added the liqu",blip_base_01829__e1,blip_base_01829
,very_low,0.0005,0,harmonica,object,False,v__xgGaxc1jNE,outputs/annotation/frames/videoxum/v__xgGaxc1jNE.png, man in a suit sits against a background. He begins playing a harmonica. He stops playing and looks at the camera.,blip_base_01264__e5,blip_base_01264
,high,0.3724,7,soccer,object,False,v_JSYv9uYZP2o,outputs/annotation/frames/videoxum/v_JSYv9uYZP2o.png, are running in a green soccer field taking out them helmets. men are playing in the field playing soccer.,blip_base_00742__e7,blip_base_00742
,low,0.1107,7,lighted restaurant,setting,False,v_aDWrPrNFdR0,outputs/annotation/frames/videoxum/v_aDWrPrNFdR0.png, people wearing red shirts are walking in the lighted restaurant. A man in a white shirt is talking to the camera. The man in the white shirt continues to talk.,blip_base_01775__e2,blip_base_01775
,very_low,0.0012,0,bagpipe,object,False,v_zmmiX3_TJ84,outputs/annotation/frames/videoxum/v_zmmiX3_TJ84.png, see a colorful title shot. We see a man playing a bagpipe. The man hits the bagpipe with his foot. We then see the ending title screen.,blip_base_00237__e2,blip_base_00237
,very_low,0.0328,3,table,setting,False,v_qNE6ju5dRc0,outputs/annotation/frames/videoxum/v_qNE6ju5dRc0.png, is siting in front of table giving the nees talking about a kayaker girl. woman is sitting in kayak talking about kayak and kayak.,blip_base_01929__e2,blip_base_01929
,very_low,0.0133,2,painting,action,False,v_r6z6Ct16I_8,outputs/annotation/frames/videoxum/v_r6z6Ct16I_8.png, young girl is shown painting the toe nails of person and looking back and fourth between the camera and the nails. The girl continues painting the nails while the camera captures her movements.,blip_base_01578__e3,blip_base_01578
,low,0.1041,0,man in a white hoodie,person,False,v_Pp5DCsgaALg,outputs/annotation/frames/videoxum/v_Pp5DCsgaALg.png, outside of a Japanese Trading Company store named Jorin is shown as they advertise their Winter sale. A man in a white hoodie is standing in front of the store talking. The man in the hoodie puts on ,blip_base_01994__e2,blip_base_01994
,mid,0.2659,6,man,person,False,v_lNvX6h3o4EA,outputs/annotation/frames/videoxum/v_lNvX6h3o4EA.png, man sits at the front of a class while playing a guitar and speaking. The man finishes playing the guitar and stands up.,blip_base_03401__e1,blip_base_03401
,low,0.1067,0,talk,action,False,v_ibWb6iRQiD4,outputs/annotation/frames/videoxum/v_ibWb6iRQiD4.png, see a title card about hairstyles. We see a lady talking to the camera. The lady shows us her hair and how to style it. We then see the lady blow dry her hair.,blip_base_03474__e3,blip_base_03474
,very_low,0.0325,1,play with hair,action,False,v_C0t3fbC2RCg,outputs/annotation/frames/videoxum/v_C0t3fbC2RCg.png, young boy is standing in a living room with dark brown leather furniture and a woman sitting on a couch. The woman begins to play with the boy's hair while the boy plays with his hair. The boy finish,blip_base_03131__e7,blip_base_03131
,mid,0.1596,0,people,person,False,v_qXi05KUFOSk,outputs/annotation/frames/videoxum/v_qXi05KUFOSk.png, people are seen kneeling down on the floor talking to one another while the camera pans around them working. The man continues to speak to the camera while more shots of him working are shown.,blip_base_03152__e1,blip_base_03152
,low,0.0729,0,edge of the pool,setting,False,v_bfk3xsTt0XA,outputs/annotation/frames/videoxum/v_bfk3xsTt0XA.png," man stands outside, pouring water over his head. The man stands on the edge of the pool, talking to the camera.",blip_base_03719__e4,blip_base_03719
,high,0.3233,3,man,person,False,v_fOuFF7dGPtI,outputs/annotation/frames/videoxum/v_fOuFF7dGPtI.png, man demonstrates how to bowl a ball. The bowl is shown in slow motion.,blip_base_03934__e1,blip_base_03934
,low,0.1188,0,play,action,False,v_xaCOYdzox0g,outputs/annotation/frames/videoxum/v_xaCOYdzox0g.png, entrees are shown across a stage with a play button in the corner. A man is then shown playing a set of drums. The man continues playing the drums and ends with the song ending.,blip_base_02660__e6,blip_base_02660
,low,0.1271,5,drink,object,False,v_IQ4SUx8ythk,outputs/annotation/frames/videoxum/v_IQ4SUx8ythk.png, large group of people are seen standing on a beach as well as exercising and sipping a drink. The people continue moving back and fourth on the beach while the camera captures their movements.,blip_base_00940__e6,blip_base_00940
,very_high,0.5586,0,hand,person,False,v_RVbejE3s3m4,outputs/annotation/frames/videoxum/v_RVbejE3s3m4.png, hand is seen laying on a table with a person behind them grabbing objects and moving in fast motion. The person continues moving around the table while the camera captures his movements.,blip_base_0156__e1,blip_base_0156
,very_high,0.7442,15,perform dance routine,action,False,v_GO_36Qd9bb0,outputs/annotation/frames/videoxum/v_GO_36Qd9bb0.png, small group of people are seen standing on a floor speaking to one another and leads into them performing a dance routine with partners. The people continue dancing around one another while the camer,blip_base_02923__e5,blip_base_02923
,high,0.4906,1,athlete,person,False,v_FsS8cQbfKTQ,outputs/annotation/frames/videoxum/v_FsS8cQbfKTQ.png," athlete pole vaults at a professional sports event in front of an audience in bleachers and sports event workers and spectators, all in slow motion. A man in a red shirt and black shorts stands in a ",blip_base_01951__e1,blip_base_01951
