judgment,bucket,blip_max,blip_argmax_frame,surface,type,malformed,video_id,frame_grid_path,summary_text,entity_id,summary_id
,very_low,0.019,6,ground beef,ingredient,False,XAHNVoKV1Bc,outputs/annotation/frames/youcook2/XAHNVoKV1Bc.png," meat meatballs by combining bread crumbs in a mixture with tomato oil, olive oil, sugar, salt, spices, and ground beef. Top with spaghetti sauce, add basil, basil, and basil.",dacmf_blip_00045__e8,dacmf_blip_00045
,low,0.0883,13,yellow pepper,ingredient,False,lC8B_Yx6Qzg,outputs/annotation/frames/youcook2/lC8B_Yx6Qzg.png,"are a flavorful cucumber soup by combining diced cucumber, yellow pepper, green onion, parsley, olive oil, garlic, pepper, and sumac. Toss in a mixed vegetable chips, toss with wheat chips, garlic chi",dacmf_blip_00388__e3,dacmf_blip_00388
,very_high,0.5577,11,pot,tool,False,_ilIn1kmNSA,outputs/annotation/frames/youcook2/_ilIn1kmNSA.png," a hearty soup by sautéing onion, garlic flakes, parsley flakes, and hot pepper flakes in a pot, then simmer with wine and flour.",dacmf_blip_00428__e8,dacmf_blip_00428
,mid,0.1568,14,tomato sauce,ingredient,False,LpBsoQ6TAL0,outputs/annotation/frames/youcook2/LpBsoQ6TAL0.png,"end tomato sauce with tomato paste, garlic, black pepper, red pepper flakes, vodka, and vodka. Combine with pasta, mix with cheese and parsley.",dacmf_blip_00318__e1,dacmf_blip_00318
,very_high,0.9092,7,clams,ingredient,False,-GlSSp5ZOCQ,outputs/annotation/frames/youcook2/-GlSSp5ZOCQ.png,"oil clam chowder with clams, bacon, and bacon, boil in a pot, then add clam juice, cut potato, cayenne.",dacmf_blip_00188__e2,dacmf_blip_00188
,high,0.3924,11,lime sauce,ingredient,False,mV3m2svj3XE,outputs/annotation/frames/youcook2/mV3m2svj3XE.png,"are a shrimp-fry shrimp with shrimp, chilis, and lime sauce in a wok. Cook rice with garlic, onion, green onion, oyster sauce, and sugar.",dacmf_blip_00209__e3,dacmf_blip_00209
,very_low,0.0495,0,cayenne pepper,ingredient,False,TF1iWaX2-DM,outputs/annotation/frames/youcook2/TF1iWaX2-DM.png,"are a batter rings by mixing egg, oil, cayenne pepper, beer, cornmeal, and flour. Coat onions in batter and fry in hot oil.",dacmf_blip_00399__e4,dacmf_blip_00399
,low,0.0779,11,honey,ingredient,False,tGaAAI3aAUs,outputs/annotation/frames/youcook2/tGaAAI3aAUs.png," seasoned beef beef with vegetables, onions, pase, spices, tomato paste, and tomato paste. Season with ketchup, honey, and sauce before serving with sour cream.",dacmf_blip_00031__e8,dacmf_blip_00031
,low,0.0952,11,shepherd,ingredient,True,9GX8f5EwwE4,outputs/annotation/frames/youcook2/9GX8f5EwwE4.png,"are a hearty shepherd and mash potatoes with beef puree, then combine with mashed potatoes, Worcestershire sauce, beef sauce, and bake in the oven.",dacmf_blip_00278__e1,dacmf_blip_00278
,low,0.0786,0,oil,ingredient,False,OF-Zh5FrxGc,outputs/annotation/frames/youcook2/OF-Zh5FrxGc.png,"are pancetta pancetta with pancley, oil, and parsley in a pan. Combine with pasta sauce, top with cheese, parsley, and cheese.",dacmf_blip_00432__e3,dacmf_blip_00432
,very_high,0.9982,1,pierogies,ingredient,False,1Ihxcua2HBc,outputs/annotation/frames/youcook2/1Ihxcua2HBc.png," pierogies by combining grated cheese, bacon, garlic, milk, and eggs with a mixture of flour, shape with potato mixture, and boil, boil, serve.",dacmf_blip_00225__e1,dacmf_blip_00225
,very_low,0.0289,11,oil miso soup,action,False,4apR0YypAGc,outputs/annotation/frames/youcook2/4apR0YypAGc.png,"oil miso soup with miso paste, soy sauce, and mushrooms in water. Add ingredients, udon noodles, chard noodles, tofu, and tofu.",dacmf_blip_00195__e8,dacmf_blip_00195
,very_high,0.5511,5,wok,tool,False,vDDeMg2dhEM,outputs/annotation/frames/youcook2/vDDeMg2dhEM.png,"red cabbage, rinse with shiitake, soaked mushrooms, ginger, bean sprouts, and capouts in a wok. Fill with cornstarch, freeze and deep fry in a mixture with corn",dacmf_blip_00013__e13,dacmf_blip_00013
,high,0.423,5,mixing,action,False,JK0DTF9Edtk,outputs/annotation/frames/youcook2/JK0DTF9Edtk.png,"are dough by mixing baking powder with flour, salt, sugar, milk, knasing oil, and oil. Roll into a shape with coriander, leaves, and assemble into the oven.",dacmf_blip_00329__e9,dacmf_blip_00329
,very_high,0.9288,8,tomato puree,ingredient,False,EJm2J0WqRcY,outputs/annotation/frames/youcook2/EJm2J0WqRcY.png,"auté bacon, cook bacon, chili puree, and tomato puree with vodka, top with cooked pasta, Parmesan, and parsley.",dacmf_blip_00434__e5,dacmf_blip_00434
,very_high,0.8071,8,baking powder,ingredient,False,PYjrGqPHGhY,outputs/annotation/frames/youcook2/PYjrGqPHGhY.png,"are dry ingredients by mixing together flour, baking powder, baking soda, salt, and sugar. Cook with a nonstick, then flip to make pancakes.",dacmf_blip_00179__e2,dacmf_blip_00179
,very_high,0.6472,13,bean sprouts,ingredient,False,SOMsxGGSTUk,outputs/annotation/frames/youcook2/SOMsxGGSTUk.png,"ir-fai noodles with tamarind paste, fish sauce, and fried shallots. Combine with shrimp and sauce, combine with sauce, bean sprouts, and garnish with roasted peanuts.",dacmf_blip_00261__e6,dacmf_blip_00261
,very_high,0.6193,12,burger,ingredient,False,o42iehActZo,outputs/annotation/frames/youcook2/o42iehActZo.png,"are a burger and mayo bun on a top of tomato, two layo, two assemble with ketchup, Ketchup, and onion, then wrap in paper paper on paper and paper.",dacmf_blip_00272__e1,dacmf_blip_00272
,mid,0.15,7,salt,ingredient,False,m9gNbLw0Dcg,outputs/annotation/frames/youcook2/m9gNbLw0Dcg.png,"ry wok-fry onion, onion, salt, chili powder, turmeric, and chili paste. Fry in a pan with the mixture, then add chicken and water for a flavorful dish.",dacmf_blip_00205__e2,dacmf_blip_00205
,mid,0.2275,8,chili powder,ingredient,False,NTyhMGmuWik,outputs/annotation/frames/youcook2/NTyhMGmuWik.png,"aut and cook beef beef with onions, chili powder, spices, and canned tomato paste. Simamerters with mustard sauce, mustard, and serve in 4 bun.",dacmf_blip_00006__e3,dacmf_blip_00006
,mid,0.2476,5,kimchi dumchi,ingredient,True,-AwyG1JcMp8,outputs/annotation/frames/youcook2/-AwyG1JcMp8.png,"ine kimchi dumchi, soy sauce, sesame oil, green onion, ginger flakes, and red pepper flakes. Cook dumplings, boil with sauce, orange juice, and sauce.",dacmf_blip_00194__e1,dacmf_blip_00194
,very_high,0.52,10,italian dressing,ingredient,False,TgttBprZXDY,outputs/annotation/frames/youcook2/TgttBprZXDY.png,"oil broccoli and Italian dressing to make a dressing with pasta, pepperoni, mozzarella cheese, Italian dressing, and apple dressing.",dacmf_blip_00177__e2,dacmf_blip_00177
,high,0.4994,11,cayenne sticks,ingredient,True,WqfselLH4MQ,outputs/annotation/frames/youcook2/WqfselLH4MQ.png,"oil chicken wings and drumery with celery, celery sticks, vodka, cayenne sticks, vinegar, and tomato sauce in oil, then coat in sauce.",dacmf_blip_00230__e5,dacmf_blip_00230
,low,0.1487,7,serve,action,False,NTyhMGmuWik,outputs/annotation/frames/youcook2/NTyhMGmuWik.png,"aut and cook beef beef with onions, chili powder, spices, and canned tomato paste. Simamerters with mustard sauce, mustard, and serve in 4 bun.",dacmf_blip_00006__e10,dacmf_blip_00006
,low,0.0538,0,lime milk,ingredient,False,SjA7PFoZcNQ,outputs/annotation/frames/youcook2/SjA7PFoZcNQ.png,"ir-fry prawn shells with rice noodles and chicken noodles, then add chicken milk, lime milk, and sugar. Serve with prawn sauce.",dacmf_blip_00349__e5,dacmf_blip_00349
,high,0.4122,13,flour,ingredient,False,N35UyfIwhVI,outputs/annotation/frames/youcook2/N35UyfIwhVI.png,"are potato pancake batter by grating and squeezing out water, mixing with flour, flour, salt, and oil. Cook in a pan until golden brown, then flip in the pan.",dacmf_blip_00149__e5,dacmf_blip_00149
,very_high,0.6009,1,lettuce,ingredient,False,fpPQcbr5VC0,outputs/annotation/frames/youcook2/fpPQcbr5VC0.png,"are tuna meat meat, slice on seaweed, sprinkle with sesame seeds, yellow onions, and lettuce, then wrap with soy sauce, lettuce, soy sauce.",dacmf_blip_00134__e5,dacmf_blip_00134
,high,0.427,14,bun,ingredient,False,f2uDKzq8WM0,outputs/annotation/frames/youcook2/f2uDKzq8WM0.png,"ill sausage dog with vegetables and jalapapeno, cook sausage, mustard, ketchup, mayo, and mayo for a bun.",dacmf_blip_00308__e8,dacmf_blip_00308
,mid,0.155,0,shake,action,False,Nbh64ntT3EM,outputs/annotation/frames/youcook2/Nbh64ntT3EM.png,"ine eggs, cook cream, eggs, sea salt, and sea salt in a pan. Shape with parmesan cheese, shake with Parman.",dacmf_blip_00316__e7,dacmf_blip_00316
,very_low,0.0392,3,clam peppers,ingredient,False,_Vzpj0cXoSM,outputs/annotation/frames/youcook2/_Vzpj0cXoSM.png,"oil clam peppers, green peppers, bay leaves, bay juice, clam juice, Worcestershire sauce, Wortershire, sauce, and pepper for a pot.",dacmf_blip_00174__e2,dacmf_blip_00174
,high,0.3546,9,onions,ingredient,False,PV93b0xisN8,outputs/annotation/frames/youcook2/PV93b0xisN8.png,"elt butter, cook onions, and beef cubes in butter. Add beef cubes, add paprika, salt, and pepper for a flavorful stew.",dacmf_blip_00337__e2,dacmf_blip_00337
,mid,0.261,8,chili powder,ingredient,False,m9gNbLw0Dcg,outputs/annotation/frames/youcook2/m9gNbLw0Dcg.png,"ry wok-fry onion, onion, salt, chili powder, turmeric, and chili paste. Fry in a pan with the mixture, then add chicken and water for a flavorful dish.",dacmf_blip_00205__e3,dacmf_blip_00205
,low,0.0573,0,cardamated onion,ingredient,True,DpuofwnCI8A,outputs/annotation/frames/youcook2/DpuofwnCI8A.png,"ash and saas, sauté oil, saam masala in oil, adding onion paste, garlic paste, and cardamated onion. Finish with cilantro and cilantro.",dacmf_blip_00293__e5,dacmf_blip_00293
