judgment,bucket,blip_max,blip_argmax_frame,surface,type,malformed,video_id,frame_grid_path,summary_text,entity_id,summary_id
,mid,0.1904,6,veggie,ingredient,False,QUt050AXQMw,outputs/annotation/frames/youcook2/QUt050AXQMw.png,"age ve with veggie, oil wine wine, and nut in a pan. Serve musunsuns with mustard, nut mustarduns, mustard with mustard mustard, mustard mustard.",blip_base_00213__e1,blip_base_00213
,very_high,0.5654,2,bacon,ingredient,False,p-PFp1c0FKs,outputs/annotation/frames/youcook2/p-PFp1c0FKs.png," a potde baconie mixture by saut bacon and bacon, then mix bacon sugar with flour, sugar pepper, creamams, and pars. Serve with breadams potatoes with bread, creamley.",blip_base_00324__e1,blip_base_00324
,very_low,0.0364,0,potatoes,ingredient,False,qkluMpILLdQ,outputs/annotation/frames/youcook2/qkluMpILLdQ.png," cabbage a creamy potatoes potatoes and potatoes potatoes potatoes with cream and butter, add potatoes with potatoes and pepper potatoes.",blip_base_00251__e2,blip_base_00251
,low,0.0929,10,onions,ingredient,False,sGzBQrg1adY,outputs/annotation/frames/youcook2/sGzBQrg1adY.png,"autaut, onions, and tomatoes tomatoes, then mix ch with spices ginger powder, chile powder, chick powder powder, and chick grams.",blip_base_00107__e2,blip_base_00107
,very_low,0.0139,5,fish tofu,ingredient,False,JqjwJIV6pI0,outputs/annotation/frames/youcook2/JqjwJIV6pI0.png,"irfried tofu tofu tofu sauce with plum, plum sugar, fish tofu, and rice tofu, rice shrimp noodles, rice noodles, and water water. Make with a mixed with sauce eggseks, sprekseks, and nuts nuts nuts.",blip_base_00135__e4,blip_base_00135
,very_high,0.9066,12,peas,ingredient,False,LQDP3xm8aRk,outputs/annotation/frames/youcook2/LQDP3xm8aRk.png,"ry with peas, mint, sugar. Add saus with sausage, herbs herbs, and herbsmeg. Serve with sausage potatoes potatoes, and bread Benedict.",blip_base_00143__e1,blip_base_00143
,mid,0.1889,7,breaditaitaita,ingredient,True,ffhliBglDhY,outputs/annotation/frames/youcook2/ffhliBglDhY.png," breaditaitaita with sum onions bread bread bread, lemon, and pepperings. Fry p bread with lemon bread, cuc, cucumber, tomatoes, and radals for servingals.",blip_base_00041__e1,blip_base_00041
,high,0.4589,3,potatoes,ingredient,False,QYl_wwBKt18,outputs/annotation/frames/youcook2/QYl_wwBKt18.png,"heat chickenoleoleole and evaporarenole, milkilk, and bou base. Thilk with a mixtureilk, milkmed, and cheese milk for a sauce c potatoes and butter.",blip_base_00070__e8,blip_base_00070
,low,0.1259,0,red,ingredient,False,SkawoKeyNoQ,outputs/annotation/frames/youcook2/SkawoKeyNoQ.png,"- beef, brown in a separate, then bake dry with carrots, Thme, red, and seasonings in a hot pan.",blip_base_00440__e5,blip_base_00440
,low,0.0736,11,heat,action,False,QYl_wwBKt18,outputs/annotation/frames/youcook2/QYl_wwBKt18.png,"heat chickenoleoleole and evaporarenole, milkilk, and bou base. Thilk with a mixtureilk, milkmed, and cheese milk for a sauce c potatoes and butter.",blip_base_00070__e10,blip_base_00070
,high,0.4424,11,potatoes,ingredient,False,fn9anlEL4FI,outputs/annotation/frames/youcook2/fn9anlEL4FI.png," lamb lamb lamb with lamb, ginger ginger paste, ginger paste paste, potatoes, and salt. Season cooked in a flavorfulatosatos with potatoes, chili, tomatoes, and chili chili.",blip_base_00004__e3,blip_base_00004
,very_high,0.8274,5,blending,action,False,XEifm-iXMvs,outputs/annotation/frames/youcook2/XEifm-iXMvs.png,"afafasasas by blending blending blending, onions, garlic, corii, spicesiander, lemonings, and spices grate. Serve fal with cucini, garlic cuc, mint pepper, garlic pepper, and black pepper pepper.",blip_base_00431__e1,blip_base_00431
,low,0.1092,7,cheese,ingredient,False,VPFmudvabUg,outputs/annotation/frames/youcook2/VPFmudvabUg.png," a anchinspiredliclic with anchovy, lemon juice, lemonceshirehire, sauce, tab, tabings, tabish. Serveish with cheese and lettuceish.",blip_base_00051__e9,blip_base_00051
,very_high,0.861,11,curry sauce,ingredient,False,1rMT2uMF78E,outputs/annotation/frames/youcook2/1rMT2uMF78E.png," shrimp shrimp shrimplli shrimpllilli shrimp by seasoned shrimp shrimp ricellillilli, onions, bell peppers peppers, shrimp sauce, and curry sauce sauce. Serveished with shrimp sauce sauce, s spr spr, ",blip_base_00243__e5,blip_base_00243
,mid,0.2157,7,flavorful,attribute,False,paiJGvLILKE,outputs/annotation/frames/youcook2/paiJGvLILKE.png,"inate beef with ground, coriander, spices oil, and limeo in a flavorful b. Serve b b with carroto, herbs, and hot daik, then serve serve.",blip_base_00382__e12,blip_base_00382
,mid,0.2362,6,deep fry,action,False,ekgZfuxsz_4,outputs/annotation/frames/youcook2/ekgZfuxsz_4.png,"ososas with flourhee, oilumin, and c. Shapeos to makeos with a dough, deep fry, and deep fry to make.",blip_base_00164__e7,blip_base_00164
,very_high,0.7324,13,parsley,ingredient,False,sv8jRCmi3Ro,outputs/annotation/frames/youcook2/sv8jRCmi3Ro.png,"are by mixingut tomatoes, bul bul, and spices bul in a oven. Serve bul with parsgurasas, then serve with parsley.",blip_base_00364__e7,blip_base_00364
,very_low,0.0284,9,tomatoes,ingredient,False,XbTA0SGOdwk,outputs/annotation/frames/youcook2/XbTA0SGOdwk.png,"are a flavorful pasta pasta by combining oil with garlic, seasoncesters, breadters, tomatoes, and eggrika. Fry meat the sauce with basil and basil leaves.",blip_base_00415__e6,blip_base_00415
,mid,0.2302,12,greens,ingredient,False,7r6JQycloEs,outputs/annotation/frames/youcook2/7r6JQycloEs.png,"- garlic and veggies peppers with garlic peppers, red peppers, greens peppers, and greens in a flavorful u. Servefdon with brothdon noodles and broth.",blip_base_00233__e5,blip_base_00233
,high,0.4332,1,salt,ingredient,False,29Wkj1LqaK8,outputs/annotation/frames/youcook2/29Wkj1LqaK8.png," chap chap with flour, salt, sugar, and water oil. Roll out into lemon balls, cook into hot with oil, then hot hot until a hot hot",blip_base_00203__e2,blip_base_00203
,very_high,0.8475,5,salmon,ingredient,False,uHv9xRooPMc,outputs/annotation/frames/youcook2/uHv9xRooPMc.png," sliced salmon salmon by thin sliced slices, stuff layers, brush sauce, and thick sauce sauce. Garnish with soy rice rice and garn sauce sauce sauce, garn with soy sauce sauce and soy sauce.",blip_base_00104__e1,blip_base_00104
,mid,0.2193,10,cook,action,False,mV3m2svj3XE,outputs/annotation/frames/youcook2/mV3m2svj3XE.png,"-- with fish sauce, lime, and wok for a flavorful w with soy sauce, and vegetables.",blip_base_00209__e6,blip_base_00209
,high,0.306,9,rinse,action,False,WQlMXudBGT4,outputs/annotation/frames/youcook2/WQlMXudBGT4.png," hum hum humini by marahahiniiniini, garlic, garlicince, and cuminumin. Drain in a food processor processor with chick, rinsepepeas, and paprika.",blip_base_00404__e7,blip_base_00404
,low,0.1064,6,vegetables,ingredient,False,8CaadFo3sw0,outputs/annotation/frames/youcook2/8CaadFo3sw0.png,"- pork belly with saltrawnss, and vegetables vegetables noodles, then rolling with a flavorful ho sauce, oil sauce sauce, and peanutisin with hoisin.",blip_base_00310__e3,blip_base_00310
,high,0.4377,2,chickasas,ingredient,True,TfITvKr5M3k,outputs/annotation/frames/youcook2/TfITvKr5M3k.png," bul bul with lemon juice, garlic, and pepper oilas. Add chickasas with tomatoas, tomatoumber, cucumber, and parsley.",blip_base_00327__e5,blip_base_00327
,very_high,0.6951,1,cabbage,ingredient,False,tQ6-_e59Zrk,outputs/annotation/frames/youcook2/tQ6-_e59Zrk.png," k carrot carrots carrots cabbage cabbage carrots carrots, carrotsal carrots, saltalal salt, falelel seeds seeds seeds, and kale sugar sugar with a mixture sugar sugar.",blip_base_00277__e2,blip_base_00277
,mid,0.1586,0,heating,action,False,wR8Ybxpnbwc,outputs/annotation/frames/youcook2/wR8Ybxpnbwc.png," sushi sushi sushi by cooking heating rice with srir, sriracha, s oil oil, and sc squid sauce, then rolling into the rice Japanese bones.",blip_base_00068__e8,blip_base_00068
,mid,0.1924,2,flavorfulok,attribute,True,tKsGWxiWWCg,outputs/annotation/frames/youcook2/tKsGWxiWWCg.png,"irfry with scall, peanutall, and sc for a flavorfulok sauce.",blip_base_00301__e4,blip_base_00301
,very_high,0.5173,2,chicken,ingredient,False,awQYyYgulLw,outputs/annotation/frames/youcook2/awQYyYgulLw.png,"ute onion, cel, cel paste, tomato paste paste and chicken. Add tomato stocki, water stock, water, and beans for a macaronaron.",blip_base_00122__e5,blip_base_00122
,high,0.3718,9,fill,action,False,WlHWRPyA7_g,outputs/annotation/frames/youcook2/WlHWRPyA7_g.png," a cornased rolls rolls rolls with flour of flour starch, salt, green peppers peppers, green, and cabbage. Fill wrappersppers and fry in a pan until crispy wra, then fry in crispy.",blip_base_00259__e6,blip_base_00259
,low,0.1328,0,serve,action,False,0hb6NShH9hY,outputs/annotation/frames/youcook2/0hb6NShH9hY.png," ram ram ram noodles noodles noodlesen noodles noodles soup noodles noodles and mis noodles, mis noodles noodles in a jar, then wrapping with soy sauce sauce, egg, egg onions, and green onions. Serve ",blip_base_00252__e8,blip_base_00252
,mid,0.1801,3,soy sauce,ingredient,False,cQ8mt5ACO0A,outputs/annotation/frames/youcook2/cQ8mt5ACO0A.png,"--f chicken chicken chicken in a pan chicken, ginger ginger, carrots, carrots powder, and curry powder powder, soyisin, soy sauce sauce, hoisin, and waterisinnuts.",blip_base_00407__e7,blip_base_00407
,high,0.3473,12,preposa batter,action,True,OUhxy5BANfk,outputs/annotation/frames/youcook2/OUhxy5BANfk.png,"Preposa batter by mixingateate, spread on pan, fill filling with oil filling filling, and foldosaosa with a batterosaosa,",blip_base_00058__e1,blip_base_00058
,low,0.0506,3,squaresonioni,ingredient,True,eMsfAhVj2e4,outputs/annotation/frames/youcook2/eMsfAhVj2e4.png, ham pepper pepper pepperoni pepperonionioni cheeseonioni pizzaonioni pepper cheeseoni cheese pepperoni cheese cheeseoni pizza cheeseoni pepper pizzaoni cheese pizza cheese cheese cheese pizzaoni pizz,blip_base_00180__e10,blip_base_00180
,very_low,0.0301,0,grill,action,False,YNpVeU1pVZA,outputs/annotation/frames/youcook2/YNpVeU1pVZA.png," a grilled cheese of sw cheese cheese and mont Mont in butter, spread, and skillet sandwich until golden, then cut golden until golden.",blip_base_00411__e6,blip_base_00411
,very_high,0.7077,15,meatlololoaf,ingredient,True,bAC0cZIQVOk,outputs/annotation/frames/youcook2/bAC0cZIQVOk.png," a meatlololoaf with k syrup, mustard syrup, Worceshirehire, milk, and seasoncr. Cook in a ovenlo, then bake meat in the oven, bake until sauce.",blip_base_00175__e1,blip_base_00175
,very_high,0.5203,2,cabbage,ingredient,False,LYj5-CdRIz0,outputs/annotation/frames/youcook2/LYj5-CdRIz0.png,"irry vegetable a vegetable rolls rolls rolls mixture by sautingé onions, carrot, carrotouts, and cabbageings. Roll rolls rollsppersppers, then deep roll wra with vegetable wrappers, and deep fry.",blip_base_00393__e4,blip_base_00393
,very_high,0.6621,10,wok,tool,False,mV3m2svj3XE,outputs/annotation/frames/youcook2/mV3m2svj3XE.png,"-- with fish sauce, lime, and wok for a flavorful w with soy sauce, and vegetables.",blip_base_00209__e3,blip_base_00209
,mid,0.1959,9,servear,action,True,vp_dOhmfGcs,outputs/annotation/frames/youcook2/vp_dOhmfGcs.png,"ir- shrimp with apple cider, chili sauce, chili, chiliir, and sririr. Cookir in a noodlesok, gingerar, ginger, and servear.",blip_base_00221__e10,blip_base_00221
,low,0.0585,15,pasta,ingredient,False,2IcWR76i1bo,outputs/annotation/frames/youcook2/2IcWR76i1bo.png," a flavorful tomato tomato tomato and potatoes pure, then mix pure with vegetables pure, smoke vegetables, cheese peas, peas peas, and sauce. Serve in oven with pasta sauce, salt sauce, and pasta past",blip_base_00419__e7,blip_base_00419
,very_low,0.0432,3,saltrika,ingredient,True,PTUxCvCz8Bc,outputs/annotation/frames/youcook2/PTUxCvCz8Bc.png," chicken wings wings with flour, pepper, garlic powder, saltrika, and pap. Drain chicken in deep oil.",blip_base_00153__e5,blip_base_00153
,high,0.37,12,mixing,action,False,JWcAs8biQFU,outputs/annotation/frames/youcook2/JWcAs8biQFU.png,"are celery by mixing chopped apples, celeryins, rainsins, cran, cranberries, and mayiseise in chill.",blip_base_00249__e6,blip_base_00249
,very_low,0.0245,15,soy sauce,ingredient,False,yTPJ_u_qxDU,outputs/annotation/frames/youcook2/yTPJ_u_qxDU.png,"inateinate Korean ribs in soy sauce, sugar wine, white onion, honey, and season sauce in a sauce sauce.",blip_base_00376__e2,blip_base_00376
,low,0.102,5,cook,action,False,TO_W2RYL2mA,outputs/annotation/frames/youcook2/TO_W2RYL2mA.png,"areé soup by cookuting, garlic, and fish fish. Add fish fish with coconut sauce, stock, cucumber, cuc, spinach, and spinach leaves leaves.",blip_base_00069__e8,blip_base_00069
,mid,0.1559,3,lay,action,False,oDsUh1es_lo,outputs/annotation/frames/youcook2/oDsUh1es_lo.png," Butter and lay bread with mustard, mustard mustard mustard, and cheese cheese cheese with cheese cheese, then bake bread bread with bread bread bread.",blip_base_00456__e5,blip_base_00456
,very_high,0.8298,10,skillet,tool,False,YNpVeU1pVZA,outputs/annotation/frames/youcook2/YNpVeU1pVZA.png," a grilled cheese of sw cheese cheese and mont Mont in butter, spread, and skillet sandwich until golden, then cut golden until golden.",blip_base_00411__e5,blip_base_00411
,high,0.4457,6,oil,ingredient,False,LeCwqp8Bic8,outputs/annotation/frames/youcook2/LeCwqp8Bic8.png," cook-pepepe, tomatoes, and water. Inut in oil. Cook chick a pan, ginger chick, spicesenug, and limeened milk.",blip_base_00370__e6,blip_base_00370
,very_low,0.0259,7,soy sauce,ingredient,False,m3kFrdCHitg,outputs/annotation/frames/youcook2/m3kFrdCHitg.png," aonna may sandwich sandwich with carrots, sugar sauce, and soy sauceise. Topise with lettuceise, lettuce, onionsalap, and vegetable before baking.",blip_base_00132__e4,blip_base_00132
,low,0.1069,8,mayiseiseise,ingredient,True,o42iehActZo,outputs/annotation/frames/youcook2/o42iehActZo.png," burger a may pattytyty by lay may pat pat with mayiseiseise, tomato pickise, k pick pick on paper and wrapping paper with paper, wrapping, and wrap with paper.",blip_base_00272__e2,blip_base_00272
,very_high,0.5358,3,refried,action,True,Xz3-xRyBBog,outputs/annotation/frames/youcook2/Xz3-xRyBBog.png," bean bean rice rice rice and riceican rice by soaking refriedried rice on a tort tortillas, salsaacac, and sour cream cream in a roll.",blip_base_00400__e7,blip_base_00400
,very_high,0.9154,11,mash,action,False,84i8Qdnyd0k,outputs/annotation/frames/youcook2/84i8Qdnyd0k.png,"oil, mash potatoes, and milk milk with milk milk. Seasonley with parsleyley, then topley with choppedley.",blip_base_00027__e4,blip_base_00027
,very_low,0.0018,7,fish juice,ingredient,False,gYWqhml_YJQ,outputs/annotation/frames/youcook2/gYWqhml_YJQ.png,"are a flavorful- shrimp of cori, limeiander, shrimpander, bean onions, bean, and fish juice, garn sauce, and lime sauce sauce. Serveish with cori and serve",blip_base_00357__e7,blip_base_00357
,very_low,0.0107,9,sugaresame,ingredient,True,b_uKIQ4dn3A,outputs/annotation/frames/youcook2/b_uKIQ4dn3A.png,"inate a mixture rib beef with garlic onions, onion onions onions, pear, pear sauce, sugaresame, and seasonesame seeds seeds, then grill and serve in a sauce.",blip_base_00191__e5,blip_base_00191
,mid,0.2081,3,salt,ingredient,False,NjAtxfaLwCk,outputs/annotation/frames/youcook2/NjAtxfaLwCk.png,"isk with salt, salt powder, sugar, and vanilla. Spread grill grill with butter, then pour maple with maple, and maple syrup.",blip_base_00025__e2,blip_base_00025
,high,0.4631,8,fry,action,False,4SnAlRlxlFk,outputs/annotation/frames/youcook2/4SnAlRlxlFk.png," a dough of c c potatoes, salt, and spices. Fill with a mixture of c fry, salt fry, and deep fry until deep fry.",blip_base_00386__e6,blip_base_00386
