section,a,b,n,metric,value
vs_human,v0_original,,200,agreement,0.495
vs_human,v0_original,,200,kappa,0.0585
vs_human,v1_reworded,,200,agreement,0.47
vs_human,v1_reworded,,200,kappa,0.0521
vs_human,v2_cot,,200,agreement,0.555
vs_human,v2_cot,,200,kappa,0.0604
vs_human,v3_no_ambiguous,,200,agreement,0.575
vs_human,v3_no_ambiguous,,200,kappa,0.0833
vs_human,v4_order_swap,,200,agreement,0.41
vs_human,v4_order_swap,,200,kappa,0.0387
pairwise,v0_original,v1_reworded,200,kappa,0.8484
pairwise,v0_original,v2_cot,200,kappa,0.5908
pairwise,v0_original,v3_no_ambiguous,200,kappa,0.841
pairwise,v0_original,v4_order_swap,200,kappa,0.8265
pairwise,v1_reworded,v2_cot,200,kappa,0.5536
pairwise,v1_reworded,v3_no_ambiguous,200,kappa,0.7328
pairwise,v1_reworded,v4_order_swap,200,kappa,0.7933
pairwise,v2_cot,v3_no_ambiguous,196,kappa,0.6096
pairwise,v2_cot,v4_order_swap,200,kappa,0.5769
pairwise,v3_no_ambiguous,v4_order_swap,200,kappa,0.6765
