judgment,bucket,blip_max,blip_argmax_frame,surface,type,malformed,video_id,frame_grid_path,summary_text,entity_id,summary_id
,high,0.3156,9,watches her,action,False,v_eic6dpU0ytM,outputs/annotation/frames/videoxum/v_eic6dpU0ytM.png,A person walking into frame sitting in a chair and knitting using yarn. The woman begins to knit and the camera person watches her.,dacmf_blip_00407__e7,dacmf_blip_00407
,very_high,0.9537,14,dance break dance spinning and flipping on the floor,action,False,v_7-_Nur_xiV4,outputs/annotation/frames/videoxum/v_7-_Nur_xiV4.png, dance break dance spinning and flipping on the floor. The boy spins and flips on his hands. The audience is watching the performance.,dacmf_blip_03435__e2,dacmf_blip_03435
,mid,0.276,8,holding,action,False,v_QgjNH6sAziM,outputs/annotation/frames/videoxum/v_QgjNH6sAziM.png,A person is seen rubbing over the fur of a dog and holding the dog down on a table. The person is then seen brushing the dog's fur.,dacmf_blip_00525__e5,dacmf_blip_00525
,low,0.0875,15,frisbee,object,False,v_iN1DEIADG9o,outputs/annotation/frames/videoxum/v_iN1DEIADG9o.png,A man and is dog are seen in a large back yard before several tricks with a frisbee. The man throws the frisbees and the dog runs after him.,dacmf_blip_02107__e4,dacmf_blip_02107
,high,0.4821,0,young man,person,False,v_t9j3GNVm8jw,outputs/annotation/frames/videoxum/v_t9j3GNVm8jw.png,A young man is seen speaking to the camera and holding up an instrument. The man continues to play the instrument while the camera captures his movements.,dacmf_blip_03216__e1,dacmf_blip_03216
,very_low,0.0353,0,yellow school bus,object,False,v_sxQbiXWFdKs,outputs/annotation/frames/videoxum/v_sxQbiXWFdKs.png,A group of people get off of a yellow school bus with life rafts around their neck and enter a foliage filled area leading to a body of water. A man is standing in the water and a woman is standing ne,dacmf_blip_01806__e2,dacmf_blip_01806
,low,0.1392,14,standing,action,False,v_XxYoSn6NE_4,outputs/annotation/frames/videoxum/v_XxYoSn6NE_4.png, woman is standing in a bathroom and begins smiling before several pictures of celebrity's hair styles are shown. The woman is now standing in front of a bathroom mirror and she is talking to the came,dacmf_blip_00449__e4,dacmf_blip_00449
,mid,0.1587,9,field,setting,False,v_8c-s3TKrtdE,outputs/annotation/frames/videoxum/v_8c-s3TKrtdE.png,A large group of people are seen running down a field with one scoring a goal and the rest lining up. Several people are shown running down the field and playing.,dacmf_blip_02717__e2,dacmf_blip_02717
,very_low,0.0086,5,soap,ingredient,False,v_WHchTZ61VT4,outputs/annotation/frames/videoxum/v_WHchTZ61VT4.png,A woman is seen standing with a tied up dog outside and begins scrubbing the dog down with soap. The woman continues to scrub the dog's head.,dacmf_blip_00092__e6,dacmf_blip_00092
,very_low,0.0348,1,talking,action,False,v_6O5UcjQMwoQ,outputs/annotation/frames/videoxum/v_6O5UcjQMwoQ.png, seated inside a building building. People are standing behind the building and watching the building. A man is standing in the back of the building talking to the crowd.,dacmf_blip_00955__e6,dacmf_blip_00955
,high,0.4729,11,perform,action,False,v_bwRsZtPzipc,outputs/annotation/frames/videoxum/v_bwRsZtPzipc.png,A large group of women are seen standing together and then walk out onto a stage and perform in front of an audience. The girls continue to dance and dance.,dacmf_blip_01350__e5,dacmf_blip_01350
,very_high,0.6002,1,dancing,action,False,v_8cbHNUbu3Tk,outputs/annotation/frames/videoxum/v_8cbHNUbu3Tk.png, dancing on a court. a woman is dancing on the floor. The crowd is watching her performance. She is dancing in the end of the dance.,dacmf_blip_02328__e2,dacmf_blip_02328
,low,0.0858,11,kneeling,action,False,v_3nzXMKByUnk,outputs/annotation/frames/videoxum/v_3nzXMKByUnk.png,A young woman is seen kneeling on the side of a building and leads into shots of her dancing with another man. The woman continues to dance and the camera follows her movements.,dacmf_blip_03069__e2,dacmf_blip_03069
,low,0.1232,0,dance,action,False,v_pTmlOZY0e4c,outputs/annotation/frames/videoxum/v_pTmlOZY0e4c.png," and red hombre scuba scuba diving red on the bottom appears with text that read ""ROPE SKIPPING Summer 2013"". The girl is standing in the middle of a field and she is talking to the camera. The girl t",dacmf_blip_03209__e5,dacmf_blip_03209
,high,0.3677,7,woman,person,False,v_LGt_KpgXymU,outputs/annotation/frames/videoxum/v_LGt_KpgXymU.png, shots of landscapes leads into a woman standing on the beach and playing a violin. The woman continues to play the violin while the camera captures her movements.,dacmf_blip_00949__e1,dacmf_blip_00949
,very_low,0.0497,3,group of young men,person,False,v_5asz3rt3QyQ,outputs/annotation/frames/videoxum/v_5asz3rt3QyQ.png,A group of young men are playing on the sandy beach. They are playing the game and the crowd is watching them. They continue to play the game.,dacmf_blip_00529__e1,dacmf_blip_00529
,very_high,0.9699,7,bumper cars,object,False,v_TokZDNwr664,outputs/annotation/frames/videoxum/v_TokZDNwr664.png,ens rides bumper cars spinning and bumping cars in the carnival. The carnival is a carnival scene where people are playing bumper cars.,dacmf_blip_02596__e3,dacmf_blip_02596
,very_low,0.0086,7,free,action,False,v_wB9LBEHR5-c,outputs/annotation/frames/videoxum/v_wB9LBEHR5-c.png," girls drive bumper cars and they get stuck with a bumper car of a boy, then they free and continue riding. The boys get in the car and get off the car.",dacmf_blip_00570__e6,dacmf_blip_00570
,low,0.1084,15,visits with patients,action,False,v_gnmtsqvTO_c,outputs/annotation/frames/videoxum/v_gnmtsqvTO_c.png,A lab coat is talking as he also visits with patients. a man is now outside. The man is talking to the camera man.,dacmf_blip_01783__e3,dacmf_blip_01783
,high,0.3179,7,woman,person,False,v_cZWgq6ATrRI,outputs/annotation/frames/videoxum/v_cZWgq6ATrRI.png,A woman is laying down on the ground with the ground. She is standing up and talking to the camera.,dacmf_blip_00880__e1,dacmf_blip_00880
,mid,0.23,5,a man,person,False,v_wyNM_7YDgfo,outputs/annotation/frames/videoxum/v_wyNM_7YDgfo.png,"A speaks in the TV, and a crowd appears covered the face and holding firearms. A man is standing in a field and holding a gun. The man is wearing a military uniform.",dacmf_blip_00782__e6,dacmf_blip_00782
,very_low,0.0438,8,cheer,action,False,v_-_gDSRlC1kg,outputs/annotation/frames/videoxum/v_-_gDSRlC1kg.png,A man is standing on a court with a sweepers and inflatable pucks. The man throws the ball to the crowd. The crowd is cheering and the man walks away.,dacmf_blip_0275__e8,dacmf_blip_0275
,very_low,0.0428,14,man,person,False,v_xaCOYdzox0g,outputs/annotation/frames/videoxum/v_xaCOYdzox0g.png,An entrees are shown across a stage with a play button in the corner. The camera zooms in on the man and he begins to eat the food.,dacmf_blip_02660__e1,dacmf_blip_02660
,high,0.3254,14,group of people,person,False,v_sxQbiXWFdKs,outputs/annotation/frames/videoxum/v_sxQbiXWFdKs.png,A group of people get off of a yellow school bus with life rafts around their neck and enter a foliage filled area leading to a body of water. A man is standing in the water and a woman is standing ne,dacmf_blip_01806__e1,dacmf_blip_01806
,low,0.083,3,kids,person,False,v_yl3bjdUZrmM,outputs/annotation/frames/videoxum/v_yl3bjdUZrmM.png,A person is seen pumping out sunscreen to kids as they rub it all over their skin. The kids are then seen playing a game of water polo in the background.,dacmf_blip_01106__e4,dacmf_blip_01106
,low,0.0977,1,rinse,action,False,v_6czh95dpwAA,outputs/annotation/frames/videoxum/v_6czh95dpwAA.png, woman carry a bucket with soapy water. The woman uses soapy soap to rinse her hands. The scene is repeated several times.,dacmf_blip_00401__e6,dacmf_blip_00401
,high,0.303,7,a man,person,False,v_i2X7z9ywHV8,outputs/annotation/frames/videoxum/v_i2X7z9ywHV8.png,We see a man smoking a hookah pipe and talking to the camera. The camera man is standing in a room and the man is talking. The man is smoking a cigarette and the camera man walks in the room.,dacmf_blip_01246__e1,dacmf_blip_01246
,mid,0.1883,5,beach,setting,False,v_XDBugI_CcYs,outputs/annotation/frames/videoxum/v_XDBugI_CcYs.png, in bikinis are standing on a beach. A woman is standing on the beach with a man. A man is standing in the middle of the beach.,dacmf_blip_01046__e2,dacmf_blip_01046
,very_high,0.8865,7,iron,action,False,v_EwEV5_sHGJk,outputs/annotation/frames/videoxum/v_EwEV5_sHGJk.png,A blue cloth with several large pink flowers is laying on a blue ironing board. The woman begins to iron the piece of the cloth she is using. She shows the finished product.,dacmf_blip_02547__e4,dacmf_blip_02547
,very_low,0.0165,12,talk,action,False,v_HVKveVRZ-JY,outputs/annotation/frames/videoxum/v_HVKveVRZ-JY.png,A public pool of people are swimming in a public pool. A man is standing in the middle of the pool. The camera person is talking to the camera man.,dacmf_blip_01103__e7,dacmf_blip_01103
,very_low,0.0057,1,crowd,person,False,v_dd1LE0m_KVg,outputs/annotation/frames/videoxum/v_dd1LE0m_KVg.png,We see five men drumming in a pavilion outdoors. The crowd claps and claps. The band plays the song.,dacmf_blip_02870__e4,dacmf_blip_02870
,high,0.4183,15,surf,action,False,v_NSMAftE6fb4,outputs/annotation/frames/videoxum/v_NSMAftE6fb4.png, is standing in the sea surfing a wave. man is standing on the beach in a boat and is surfing in the water.,dacmf_blip_02966__e6,dacmf_blip_02966
